Model,Accuracy,Precision,Recall,F1-Score,Confusion_Matrix
Logistic Regression (Direct),0.848,0.5149253731343284,0.15,0.23232323232323232,"[[2475, 65], [391, 69]]"
Random Forest (Direct),0.843,0.4689265536723164,0.18043478260869567,0.260596546310832,"[[2446, 94], [377, 83]]"
Voting Classifier (Direct),0.8486666666666667,0.5882352941176471,0.043478260869565216,0.08097165991902834,"[[2526, 14], [440, 20]]"
Logistic Regression (Prep),0.8456666666666667,0.4897959183673469,0.1565217391304348,0.2372322899505766,"[[2465, 75], [388, 72]]"
Random Forest (Prep),0.844,0.4649122807017544,0.11521739130434783,0.18466898954703834,"[[2479, 61], [407, 53]]"
Voting Classifier (Prep),0.8486666666666667,0.525,0.13695652173913042,0.21724137931034482,"[[2483, 57], [397, 63]]"
Tuned Logistic Regression,0.8456666666666667,0.4897959183673469,0.1565217391304348,0.2372322899505766,"[[2465, 75], [388, 72]]"
Tuned Random Forest,0.8516666666666667,0.546583850931677,0.19130434782608696,0.2834138486312399,"[[2467, 73], [372, 88]]"
